Timestamp,PoorSignal,Attention,Meditation,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,MidGamma
2025-10-13 15:13:45.264680,0,29,43,78959,32494,8505,4389,2459,1318,1271,1507
2025-10-13 15:13:46.260556,0,40,43,1209924,26260,14972,4485,18406,21343,8166,4353
2025-10-13 15:13:47.270836,0,47,30,37893,9899,16156,3110,13955,3180,3367,1531
2025-10-13 15:13:48.245254,0,48,35,41074,55609,7950,20207,17924,7233,1799,1635
2025-10-13 15:13:49.260928,0,53,34,10685,68922,11869,12158,4255,4482,3731,5841
2025-10-13 15:13:50.241896,0,26,30,252305,31654,1766,6309,3328,1308,1878,564
2025-10-13 15:13:51.233883,0,29,26,194786,62226,11399,23541,14711,13425,6241,3453
2025-10-13 15:13:52.232006,0,41,27,142950,30464,9050,13510,7542,12458,3682,2030
2025-10-13 15:13:53.230564,0,63,37,68038,6497,6747,6855,5837,8036,1201,1497
2025-10-13 15:13:54.234532,0,63,30,34218,31759,1135,3331,2743,1258,682,749
2025-10-13 15:13:55.221772,0,61,30,47603,53699,9311,20140,12504,9773,5404,5168
2025-10-13 15:13:56.243579,0,48,24,69898,123774,24503,11633,10706,10405,11525,1528
2025-10-13 15:13:57.209304,0,37,23,434268,106488,31729,48678,10272,28281,15732,2445
2025-10-13 15:13:58.208741,0,41,26,1387276,223780,18456,33529,16828,14376,7720,2162
2025-10-13 15:13:59.205427,0,24,11,1494554,329615,14094,13790,8129,8084,4956,2283
2025-10-13 15:14:00.202046,0,27,16,149606,94893,43777,8224,6588,14212,5199,1080
2025-10-13 15:14:01.213437,0,4,10,1683149,341935,86806,19018,12552,2563,1980,1527
2025-10-13 15:14:02.195986,0,14,27,7159,27303,35642,5891,1291,6680,5042,5788
2025-10-13 15:14:03.212322,0,23,51,1983440,80695,63806,18542,12859,5221,2589,882
2025-10-13 15:14:04.192769,0,24,57,164492,37809,19307,21931,8841,5939,2697,2456
2025-10-13 15:14:05.181102,0,40,60,363938,56001,16839,3413,1713,2434,3262,1645
2025-10-13 15:14:06.176040,0,44,37,165280,37249,1216,4005,3809,8077,6704,1150
2025-10-13 15:14:07.178580,0,54,43,194082,27251,65278,13447,15610,9248,3027,894
2025-10-13 15:14:08.177903,0,56,38,44779,33664,11374,12255,3237,5206,2405,1289
2025-10-13 15:14:09.168574,0,64,38,112228,46979,16440,6089,20302,5124,3940,2999
2025-10-13 15:14:10.179377,0,47,54,22185,94930,51105,27831,40007,4520,4542,1628
2025-10-13 15:14:11.157723,0,50,48,293002,13040,10687,16561,11874,5423,10103,1370
2025-10-13 15:14:12.170626,0,51,47,96179,126748,50785,12623,15937,21067,25651,5362
2025-10-13 15:14:13.161734,0,56,60,13999,7460,4748,21489,4986,4413,6675,2100
2025-10-13 15:14:14.154016,0,74,64,19651,9662,12036,5881,5816,5621,5275,3432
2025-10-13 15:14:15.147845,0,70,63,21629,14664,13603,12793,9091,5135,3028,4722
2025-10-13 15:14:16.141760,0,70,61,14891,21145,7641,6317,17496,3388,6311,1742
2025-10-13 15:14:17.149411,0,69,51,10816,30360,14339,9551,9558,5654,4002,2554
2025-10-13 15:14:18.130399,0,66,51,15287,22369,14779,20081,14734,7832,6363,2221
2025-10-13 15:14:19.140628,0,75,40,54863,21758,2848,8546,6478,11919,6359,7788
2025-10-13 15:14:20.141667,0,69,43,771469,213559,59384,50511,22757,15310,29639,5284
2025-10-13 15:14:21.123787,0,61,47,1074324,60671,30062,20992,7325,4883,12507,3387
2025-10-13 15:14:22.124329,0,64,37,1131993,38626,10644,8609,11654,11567,12307,2022
2025-10-13 15:14:23.118225,0,56,47,121797,16658,9378,14889,5183,4966,8166,1582
2025-10-13 15:14:24.113398,0,60,60,41548,32603,31036,35353,7903,6916,2164,2086
2025-10-13 15:14:25.104886,0,67,57,14602,14333,9582,2834,6095,3345,1645,1099
2025-10-13 15:14:26.125629,0,66,64,9052,16685,14786,6419,7602,6484,1427,1325
2025-10-13 15:14:27.100375,0,66,66,20376,14014,8006,13277,5530,4160,1636,829
2025-10-13 15:14:28.096655,0,69,61,142069,41350,42307,18176,12809,11040,2793,3499
2025-10-13 15:14:29.121800,0,78,63,1895753,11552,6262,11920,5936,10847,7982,3912
2025-10-13 15:14:30.091792,0,83,43,578144,100132,4297,9812,8046,31529,28682,10117
2025-10-13 15:14:31.098063,0,80,37,562779,100572,34397,25940,13030,12514,10560,9974
2025-10-13 15:14:32.078561,0,78,34,468284,112641,92230,11285,17519,17891,23727,9396
2025-10-13 15:14:33.090760,0,61,27,157448,135313,21636,37965,8626,9347,7705,3469
2025-10-13 15:14:34.076598,0,56,40,162668,43014,13461,8822,11778,10143,6137,3230
2025-10-13 15:14:35.067881,0,64,37,333829,82280,6198,45957,23004,35459,8723,6790
2025-10-13 15:14:36.063950,0,56,17,1958298,382063,14573,29033,15669,10975,7155,13868
2025-10-13 15:14:37.065165,0,60,1,112594,186147,1735,8792,7852,17140,10258,1622
2025-10-13 15:14:38.093021,0,54,4,1674453,257282,97782,16254,17290,28243,13579,7423
2025-10-13 15:14:39.054935,0,48,13,33204,31659,26143,6168,9924,7709,4930,5840
2025-10-13 15:14:40.069221,0,70,23,99019,13006,3259,2310,1930,7510,4758,1813
2025-10-13 15:14:41.046309,0,77,48,31714,15767,3470,13468,5739,5352,3610,1131
2025-10-13 15:14:42.057399,0,80,44,9664,28711,6595,2862,6341,4600,2617,2444
2025-10-13 15:14:43.041779,0,74,48,6576,23967,17136,15922,12037,3203,3410,877
2025-10-13 15:14:44.032817,0,61,57,28822,24672,12222,15434,5831,4156,2149,3098
2025-10-13 15:14:45.036987,0,56,61,18859,31521,8361,32223,7948,6533,759,1227
2025-10-13 15:14:46.028984,0,57,75,15722,8036,10095,18950,16359,5304,2026,394
